from,to,cost
267,158,2.891
267,159,2.891
79,129,0.788
79,130,0.788
79,160,0.788
133,129,0.788
133,130,0.788
133,160,0.788
158,129,0.788
158,130,0.788
158,160,0.788
159,129,0.788
159,130,0.788
159,160,0.788
129,75,0.739
129,157,0.739
130,75,0.739
130,157,0.739
160,75,0.739
160,157,0.739
128,268,2.841
128,269,2.841
161,268,2.841
161,269,2.841
75,76,0.26
75,153,0.26
157,76,0.26
157,153,0.26
76,77,0.498
76,156,0.498
153,77,0.498
153,156,0.498
278,128,1.044
278,161,1.044
279,128,1.044
279,161,1.044
77,282,0.893
77,283,0.893
156,282,0.893
156,283,0.893
282,280,0.334
282,281,0.334
283,280,0.334
283,281,0.334
36,278,1.78
36,279,1.78
124,278,1.78
124,279,1.78
186,278,1.78
186,279,1.78
280,162,0.864
281,162,0.864
162,37,1.022
162,168,1.022
242,36,1.153
242,124,1.153
242,186,1.153
243,36,1.153
243,124,1.153
243,186,1.153
127,242,0.136
127,243,0.136
163,242,0.136
163,243,0.136
108,109,0.295
108,205,0.295
204,109,0.295
204,205,0.295
112,110,0.338
112,203,0.338
202,110,0.338
202,203,0.338
90,91,0.341
90,201,0.341
200,91,0.341
200,201,0.341
84,83,0.336
84,207,0.336
206,83,0.336
206,207,0.336
8,0,0.295
8,1,0.295
0,304,0.6
1,304,0.6
304,3,0.337
304,239,0.337
286,295,1.495
98,286,2.016
296,99,3.645
99,99,0.0
144,148,0.922
7,6,1.771
150,5,2.068
91,112,3.082
91,202,3.082
201,112,3.082
201,202,3.082
109,84,3.383
109,206,3.383
205,84,3.383
205,206,3.383
318,90,3.753
318,200,3.753
319,90,3.753
319,200,3.753
83,82,3.375
83,208,3.375
207,82,3.375
207,208,3.375
233,318,1.341
233,319,1.341
235,318,1.341
235,319,1.341
82,234,1.329
82,236,1.329
208,234,1.329
208,236,1.329
67,233,0.496
67,235,0.496
234,69,0.486
234,209,0.486
236,69,0.486
236,209,0.486
69,68,0.231
69,210,0.231
209,68,0.231
209,210,0.231
68,66,7.58
210,66,7.58
66,65,0.257
102,101,0.181
102,199,0.181
198,101,0.181
198,199,0.181
101,67,5.195
199,67,5.195
92,102,3.862
92,198,3.862
65,64,2.027
64,9,2.308
9,63,0.478
9,343,0.478
126,92,3.695
63,62,0.152
63,344,0.152
343,62,0.152
343,344,0.152
131,126,0.181
132,126,0.181
62,302,1.047
344,302,1.047
95,131,1.008
95,132,1.008
302,94,0.035
316,61,0.202
6,260,0.887
261,150,0.883
260,74,0.861
125,261,0.859
74,134,4.522
135,125,4.511
134,136,0.263
136,137,1.412
137,138,0.47
326,135,2.155
138,139,2.119
312,326,2.122
139,140,1.036
330,312,1.042
140,142,1.964
339,330,1.971
141,143,0.551
143,146,0.38
338,314,0.675
146,331,1.363
147,338,1.744
331,149,1.318
148,147,1.25
149,15,3.579
14,144,3.004
149,214,4.115
212,145,3.155
212,15,4.099
212,271,6.996
270,151,1.552
151,15,5.162
151,145,4.28
151,214,5.875
270,307,10.194
306,305,0.164
307,313,0.835
93,306,0.925
305,299,1.932
299,297,0.63
78,324,0.233
325,60,0.416
229,78,0.232
59,229,0.151
60,58,0.606
230,59,0.445
57,230,1.15
58,56,1.346
55,57,1.025
56,231,0.831
54,55,0.525
231,122,0.531
53,54,0.755
122,81,1.656
46,53,0.749
45,46,0.582
81,80,0.429
44,45,0.554
80,317,0.634
40,41,0.617
41,96,0.95
96,103,0.502
50,49,0.508
103,52,1.131
52,104,0.496
43,42,0.139
42,50,1.477
39,40,0.747
10,4,0.301
12,10,2.057
111,121,0.271
121,95,5.255
94,316,2.512
13,315,0.994
104,51,0.543
51,44,0.789
317,105,0.675
105,43,0.565
49,48,1.609
49,182,1.609
48,47,1.599
48,183,1.599
48,245,1.599
182,47,1.599
182,183,1.599
182,245,1.599
97,39,0.756
190,39,0.756
3,111,6.036
239,111,6.036
4,2,2.757
142,225,2.986
142,226,2.986
225,141,1.218
226,141,1.218
314,339,4.066
313,8,4.676
2,93,4.274
37,38,0.182
37,169,0.182
168,38,0.182
168,169,0.182
38,11,1.44
38,164,1.44
169,11,1.44
169,164,1.44
123,127,1.185
123,163,1.185
165,127,1.185
165,163,1.185
11,17,0.628
11,166,0.628
164,17,0.628
164,166,0.628
119,123,0.714
119,165,0.714
167,123,0.714
167,165,0.714
17,18,0.549
17,152,0.549
166,18,0.549
166,152,0.549
274,119,1.278
274,167,1.278
275,119,1.278
275,167,1.278
18,19,0.651
18,170,0.651
152,19,0.651
152,170,0.651
19,276,0.445
19,277,0.445
170,276,0.445
170,277,0.445
20,274,0.448
20,275,0.448
171,274,0.448
171,275,0.448
276,21,0.589
276,172,0.589
277,21,0.589
277,172,0.589
284,20,0.588
284,171,0.588
285,20,0.588
285,171,0.588
21,22,0.888
21,173,0.888
172,22,0.888
172,173,0.888
23,25,0.753
23,175,0.753
174,25,0.753
174,175,0.753
22,23,0.379
22,174,0.379
173,23,0.379
173,174,0.379
287,284,2.099
287,285,2.099
288,284,2.099
288,285,2.099
25,26,0.895
25,176,0.895
175,26,0.895
175,176,0.895
26,28,0.319
26,187,0.319
176,28,0.319
176,187,0.319
27,287,0.96
27,288,0.96
154,287,0.96
154,288,0.96
28,29,0.813
28,177,0.813
187,29,0.813
187,177,0.813
289,27,1.13
289,154,1.13
290,27,1.13
290,154,1.13
29,30,0.587
29,178,0.587
177,30,0.587
177,178,0.587
30,31,0.346
30,179,0.346
178,31,0.346
178,179,0.346
73,289,0.45
73,290,0.45
181,289,0.45
181,290,0.45
32,73,1.233
32,181,1.233
180,73,1.233
180,181,1.233
272,73,1.233
272,181,1.233
273,73,1.233
273,181,1.233
31,33,1.873
31,155,1.873
179,33,1.873
179,155,1.873
33,320,0.348
33,321,0.348
155,320,0.348
155,321,0.348
34,32,1.343
34,180,1.343
34,272,1.343
34,273,1.343
188,32,1.343
188,180,1.343
188,272,1.343
188,273,1.343
35,34,0.941
35,188,0.941
189,34,0.941
189,188,0.941
320,322,0.942
320,323,0.942
321,322,0.942
321,323,0.942
322,97,0.847
322,190,0.847
323,97,0.847
323,190,0.847
47,35,0.73
47,189,0.73
183,35,0.73
183,189,0.73
245,35,0.73
245,189,0.73
99,100,0.252
100,293,1.965
294,98,2.371
293,292,2.881
291,294,2.875
292,120,5.355
120,298,0.586
120,342,0.586
297,291,5.382
298,307,2.183
342,307,2.183
